id,ACTION
1,0.03766453789153849
2,0.997426009903241
3,0.9980342039518508
4,0.950014476126592
5,0.9986697554697554
6,0.9600406866603829
7,0.9177415665047244
8,0.9861899210676166
9,0.5187189055716244
10,0.9488912342421103
11,0.9537344989017633
12,0.9455670608599575
13,0.5950065383268814
14,0.6055291234175121
15,0.848091114333625
16,0.8109294056445187
17,0.8066522860219681
18,0.6776046506804122
19,0.9857066678161585
20,0.8715877098676403
21,0.9950464517846345
22,0.9518511182328088
23,0.7835857928706481
24,0.963841092423793
25,0.9782561298385845
26,0.8473854425220706
27,0.8185359344133413
28,0.18401698136025246
29,0.7176668358874747
30,0.8226890688754399
31,0.9920552902295859
32,0.8923962025355742
33,0.9579181868345009
34,0.6610720421682048
35,0.9589487298049241
36,0.9162402512379777
37,0.6410372286954666
38,0.8829126588076861
39,0.7341284851217669
40,0.5069135361057605
41,0.8248679265980647
42,0.971084393234186
43,0.7524823328395144
44,0.8705236429125512
45,0.7921286520898965
46,0.9443445814633102
47,0.978029196869039
48,0.9802373049727697
49,0.9654852939078038
50,0.9145323385303095
51,0.9859712011459958
52,0.9847459161086974
53,0.9370805117850116
54,0.9376320192203463
55,0.9128000805965549
56,0.7325641420996805
57,0.7261962673025923
58,0.9704035005262048
59,0.8866856576411764
60,0.9104222379449889
61,1
62,0.7904420716121174
63,0.911920531931778
64,0.9785005183223084
65,0.9634304411382835
66,0.9564606532926057
67,0.8135745990882004
68,0.9953087992650311
69,0.7339197762983056
70,0.2574077451448143
71,0.5236468930876647
72,0.9743107664591598
73,0.9373380409186284
74,0.9715743239736937
75,0.90330775988132
76,0.9544228241542241
77,0.9701718308755506
78,0.048346768216081096
79,0.08464244431090648
80,0.9757326972482363
81,0.9846968191466551
82,0.9372316225686543
83,0.9585688668452241
84,0.9792627259915816
85,0.994044060729204
86,0.9415254906270746
87,0.7830004882201067
88,0.9962974616886382
89,0.9965785631499565
90,0.6252887660341935
91,0.8584047835630578
92,0.2921715475083304
93,0.9944812115095087
94,0.6652556190062814
95,0.9948753908987741
96,0.9718281021276848
97,0.3458714948129241
98,0.9616330197459799
99,0.9285332825636939
100,0.926290345416509
101,0.8267915269612319
102,0.3796732507546308
103,0.9605432004268388
104,0.7778069974908436
105,0.05348468849385055
106,0.8154893648459509
107,0.9788444514230747
108,0.9037299773643596
109,0.7797880351164589
110,0.9018080015403623
111,0.4922945634798522
112,0.804047968251564
113,0.9408071312281773
114,0.9864149747525623
115,0.7213316781165943
116,0.9891939042575529
117,0.9059920538421529
118,0.9294026385094913
119,0.99223252517008
120,0.975023867417511
