id,ACTION
1,0.14719716458123017
2,1
3,1
4,1
5,1
6,1
7,0.853715264465606
8,1
9,0.3543542985533836
10,1
11,1
12,1
13,0.935401596340538
14,0.9720373598658656
15,0.8116344635771606
16,1
17,1
18,0.7369127679945399
19,1
20,0.8516075264884087
21,1
22,1
23,0.935401596340538
24,1
25,1
26,1
27,1
28,0.8069562090171196
29,1
30,1
31,1
32,1
33,0.9276280085669989
34,0.7804308439857686
35,1
36,1
37,1
38,1
39,0.8094492110238498
40,0.7158324403263068
41,0.9788586983010663
42,1
43,0.6409674468865753
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0.9931786615647994
57,1
58,1
59,1
60,1
61,1
62,0.7804308439857686
63,1
64,1
65,1
66,1
67,0.881821202456851
68,1
69,0.6510907388097341
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0.24071045771316513
79,0.3790744303918762
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0.597510344926047
91,0.9931786615647994
92,0.14839247351159132
93,1
94,0.8128699361705221
95,1
96,1
97,0.26075233499161654
98,1
99,1
100,1
101,0.9788586983010663
102,0.5274669039034675
103,0.9931786615647994
104,0.881821202456851
105,0
106,0.8630296049075371
107,1
108,1
109,1
110,1
111,0.46337686064748834
112,1
113,1
114,1
115,0.9931786615647994
116,1
117,1
118,1
119,1
120,1
121,0.5205022676111563
122,0.9931786615647994
123,0.9720373598658656
124,1
125,1
126,0.9720373598658656
127,0.9097838425909853
128,0.8162705494590505
129,1
130,0.6510907388097341
131,1
132,0.9097838425909853
133,1
134,0.935401596340538
135,1
136,0.881821202456851
137,1
138,0.7437950804604412
139,0.26075233499161654
140,1
141,1
142,0.7158324403263068
143,1
144,1
145,1
146,0.9931786615647994
147,0.9252783044173792
148,0.5372896047488812
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,0.7836718234430263
157,1
158,1
159,1
160,1
161,0
162,0.8447861880532082
163,1
164,1
165,1
166,1
167,0.7882044317593079
168,1
169,0.9720373598658656
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0.26075233499161654
178,1
179,1
180,0.9252783044173792
181,0
182,0.6510907388097341
183,1
184,0.1883655364228393
185,1
186,0.45508010533469034
187,1
188,1
189,0.6610567375122586
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0.31438123564213555
201,1
202,0.4293027177538668
203,0.7158324403263068
204,0.9931786615647994
205,1
206,1
207,1
208,1
209,0.6600543351401819
210,0.9931786615647994
211,0.26075233499161654
212,1
213,1
214,1
215,1
216,0.6089951307855129
217,0.935401596340538
218,0.8116344635771606
219,1
220,1
221,0.597510344926047
222,1
223,1
224,0.9633642364746725
225,0.597510344926047
226,0.518483200063791
227,0.7634991070565913
